,SFAPO_OCN (carboscope) [Pmol/yr],SFCO2_FF (GCP-GridFED) [Pmol/yr],SFCO2_FF (OCO2-MIP) [Pmol/yr],SFCO2_OCN (MPI-SOM-FFN) [Pmol/yr],SFCO2_OCN (cesm_fosi_smyle) [Pmol/yr],SFN2_OCN (cesm_fosi_smyle) [Pmol/yr],SFN2_OCN (era5_shf) [Pmol/yr],SFO2_FF (GCP-GridFED) [Pmol/yr],SFO2_OCN (cesm_fosi_smyle) [Pmol/yr],SFO2_OCN (gk2001_R2016) [Pmol/yr]
1986-01-01 12:00:00,0.0,0.52872,0.0,-0.13040504,-0.21893361,0.033259265,0.47658706,-0.7336699,0.1449921,0.65372443
1986-01-02 12:00:00,0.0,0.52939284,0.0,-0.1300061,-0.21377376,0.029606853,0.4732203,-0.7345359,0.23117556,0.6532847
1986-01-03 12:00:00,0.0,0.5300657,0.0,-0.12960714,-0.2051813,0.025954477,0.46985322,-0.73540187,0.3820419,0.6528448
1986-01-04 12:00:00,0.0,0.5307385,0.0,-0.12920819,-0.24526745,0.02230201,0.46648628,-0.7362678,0.05619885,0.6524052
1986-01-05 12:00:00,0.0,0.5314113,0.0,-0.12880923,-0.24244139,0.018649532,0.46311966,-0.7371338,-0.011541686,0.6519652
1986-01-06 12:00:00,0.0,0.53208405,0.0,-0.12841031,-0.22056368,0.01499713,0.4597527,-0.73799986,0.071941935,0.6515255
1986-01-07 12:00:00,0.0,0.5327569,0.0,-0.12801136,-0.20203258,0.011344725,0.45638573,-0.73886573,0.34191266,0.6510858
1986-01-08 12:00:00,0.0,0.53342974,0.0,-0.12761243,-0.22428347,0.007692122,0.4530189,-0.7397317,0.36313272,0.65064585
1986-01-09 12:00:00,0.0,0.53410256,0.0,-0.12721346,-0.22938527,0.0040397476,0.44965196,-0.74059784,0.25304636,0.6502064
1986-01-10 12:00:00,0.0,0.53477544,0.0,-0.12681453,-0.20483585,0.00038724332,0.44628516,-0.7414638,0.18844926,0.6497665
